Div.,Article,Sebango,Forced
1268,1118629499,6294,X
1268,1118629599,6295,X
1268,1118631500,6315,X
1268,1118635400,6354,X
1268,1118642299,6422,X
1268,1118643000,6430,X
1268,1118645370,6453,X
1268,1118664370,6643,X
1268,1118671270,6712,X
1268,1118677796,6777,X
1268,1118677896,6778,X
1268,1118677996,6779,X
1268,1118680596,6805,X
1268,1118684896,6848,X
1268,1118685096,6850,X
1268,1118690696,6906,X
1268,1118693419,6934,X
1268,1118697717,6977,X
1268,1118699396,6993,X
1268,1118702896,7028,X
1268,1118703196,7031,X
1268,1118703496,7034,X
1268,1118705419,7054,X
1268,1118706616,7066,X
1268,1118710096,7100,X
1268,1118710100,7101,X
1268,1118710196,7101,X
1268,1118715196,7151,X
1268,1118715199,7151,X
1268,1118719596,7195,X
1268,1118719696,7196,X
1268,1118719796,7197,X
1268,1118720096,7200,X
1268,1118723532,7235,X
1268,1118723596,7235,X
1268,1118726170,7261,X
1268,1818035000,0350,X
1268,1818040000,0400,X
1268,1818068000,0680,X
1268,1818084000,0840,X
1268,1818091000,0910,X
1268,1818118000,1180,X
1268,1818119000,1190,X
1268,1818132000,1320,X
1268,1818134000,1340,X
1268,1818209000,2090,X
1268,1818210000,2100,X
1268,1818211000,2110,X
1268,1818221000,2210,X
1268,1818388000,3880,X
1268,1818439000,4390,X
1268,1818467000,4670,X
1268,1818468000,4680,X
1268,1818469000,4690,X
1268,1818482000,4820,X
1268,1818483000,4830,X
1268,1818494000,4940,X
1268,1818533000,5330,X
1268,1818535000,5350,X
1268,1818536000,5360,X
1268,1818537000,5370,X
1268,1818547000,5470,X
1268,1818584000,5840,X
1268,1818587000,5870,X
1268,1818598000,5980,X
1268,1818617000,6170,X
1268,1818721000,7210,X
1268,1818726000,7260,X
1268,1818751000,7510,X
1268,1818753000,7530,X
1268,1818758000,7580,X
1268,1818823000,8230,X
1268,1818824000,8240,X
1268,1818828000,8280,X
1268,1818832000,8320,X
1268,1818858000,8580,X
1268,1818859000,8590,X
1268,1818958000,9580,X
1268,1819118000,1180,X
1268,1819119000,1190,X
1268,1819142000,1420,X
1268,1819162000,1620,X
